ReNamn;Företag;Gruppnamn;RE;StartHour;EndHour;StartMonth;EndMonth;Hur de tar ut abonnerad effekt/höglast;Källa;Kommentar
REL00593;E.ON Energidistribution AB;Osby;REL00593Osby;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Bråviken;REL00593Bråviken;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Forskraft;REL00593Forskraft;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Örebro;REL00593Örebro;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Norrköping;REL00593Norrköping;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Småland;REL00593Småland;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Billeberga;REL00593Billeberga;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Nora;REL00593Nora;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Sperlingsholm;REL00593Sperlingsholm;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Östernärkes;REL00593Östernärkes;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;;REL00593;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;E.On Södra och mellersta;REL00593E.On Södra och mellersta;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00593;E.ON Energidistribution AB;Syd & Mellersta;REL00593Syd & Mellersta;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00601;E.ON Energidistribution AB;Fd Graninge Nord;REL00601Fd Graninge Nord;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00601;E.ON Energidistribution AB;Nord;REL00601Nord;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00601;E.ON Energidistribution AB;Nord;REL00601Nord;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00601;E.ON Energidistribution AB;Nord;REL00601Nord;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00615;E.ON Energidistribution AB;Kungsbacka;REL00615Kungsbacka;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
REL00615;E.ON Energidistribution AB;Västbo;REL00615Västbo;-;-;-;-;Månadseffekt, enskilda effekttoppen den månaden;https://www.eon.se/foeretag/elnaet/elnaetsavgiften;
